code,name,status,ok_1d,ok_1m,count_1d,count_1m
600643.SH,爱建集团,Success,True,True,513,6525
600258.SH,首旅酒店,Success,True,True,513,6525
605299.SH,舒华体育,Success,True,True,513,6525
601969.SH,海南矿业,Success,True,True,513,6525
600637.SH,东方明珠,Success,True,True,513,6525
600741.SH,华域汽车,Success,True,True,513,6525
603908.SH,牧高笛,Success,True,True,513,6525
600735.SH,ST新华锦,Success,True,True,513,6525
688721.SH,龙图光罩,Success,True,True,370,6525
688755.SH,汉邦科技,Success,True,True,185,6525
600650.SH,锦江在线,Success,True,True,513,6525
603819.SH,神力股份,Success,True,True,513,6525
600624.SH,ST复华,Success,True,True,513,6525
601038.SH,一拖股份,Success,True,True,513,6525
688630.SH,芯碁微装,Success,True,True,513,6525
603885.SH,吉祥航空,Success,True,True,513,6525
601992.SH,金隅集团,Success,True,True,513,6525
601890.SH,亚星锚链,Success,True,True,513,6525
688329.SH,艾隆科技,Success,True,True,513,6525
603987.SH,康德莱,Success,True,True,513,6525
603059.SH,倍加洁,Success,True,True,513,6525
601555.SH,东吴证券,Success,True,True,513,6525
605388.SH,均瑶健康,Success,True,True,513,6525
601878.SH,浙商证券,Success,True,True,513,6525
600726.SH,华电能源,Success,True,True,513,6525
688159.SH,有方科技,Success,True,True,513,6525
603229.SH,奥翔药业,Success,True,True,513,6525
688536.SH,思瑞浦,Success,True,True,513,6526
600893.SH,航发动力,Success,True,True,513,6526
600522.SH,中天科技,Success,True,True,513,6526
600556.SH,天下秀,Success,True,True,513,6526
600420.SH,国药现代,Success,True,True,513,6526
600979.SH,广安爱众,Success,True,True,513,6526
603730.SH,岱美股份,Success,True,True,513,6526
605066.SH,天正电气,Success,True,True,513,6526
601168.SH,XD西部矿,Success,True,True,513,6526
603949.SH,雪龙集团,Success,True,True,513,6526
600774.SH,汉商集团,Success,True,True,513,6526
603097.SH,江苏华辰,Success,True,True,513,6526
688393.SH,安必平,Success,True,True,513,6526
688788.SH,科思科技,Success,True,True,513,6526
600676.SH,交运股份,Success,True,True,513,6526
688291.SH,金橙子,Success,True,True,513,6526
600219.SH,南山铝业,Success,True,True,513,6526
600602.SH,云赛智联,Success,True,True,513,6526
603195.SH,公牛集团,Success,True,True,513,6526
601928.SH,凤凰传媒,Success,True,True,513,6526
600285.SH,羚锐制药,Success,True,True,513,6526
688616.SH,西力科技,Success,True,True,513,6526
603109.SH,神驰机电,Success,True,True,513,6526
688662.SH,富信科技,Success,True,True,513,6526
688279.SH,峰岹科技,Success,True,True,513,6526
603566.SH,普莱柯,Success,True,True,513,6526
688095.SH,福昕软件,Success,True,True,513,6526
600406.SH,国电南瑞,Success,True,True,513,6526
603391.SH,力聚热能,Success,True,True,374,6526
688466.SH,金科环境,Success,True,True,513,6526
603379.SH,三美股份,Success,True,True,513,6526
600081.SH,东风科技,Success,True,True,513,6526
688009.SH,中国通号,Success,True,True,513,6526
601601.SH,中国太保,Success,True,True,513,6526
603716.SH,塞力医疗,Success,True,True,513,6526
603660.SH,苏州科达,Success,True,True,513,6526
605136.SH,丽人丽妆,Success,True,True,513,6526
